start_sec,end_sec,text,highlight_keywords,motion_style
166.18,167.54,Eso es falso.,,none
167.55,171.55,"El IRS y el Department of Homeland Security son agencias separadas,",IRS,pop
171.55,175.55,y la información del ITIN tiene restricciones de uso establecidas por la,ITIN,pop
175.55,178.28,sección 6103 del Internal Revenue Code.,,none
178.27,182.27,"Una vez tienes ITIN, se te abre la primera puerta:",ITIN,pop
182.27,186.27,"puedes abrir cuentas bancarias en Bank of America, Wells Fargo, Capital One,",Capital One,pop
186.27,189.91,Citi y bancos comunitarios como Self-Help Credit Union.,,none
189.91,193.91,"Más importante todavía, puedes solicitar productos crediticios que reportan a las tres",,none
193.91,196.18,"burós: Experian, Equifax y TransUnion.",Equifax|Experian|TransUnion,pop
196.18,198.91,"Sin ese reporte, no hay historial.",,none
198.91,201.64,"Y sin historial, no hay FICO.",FICO,pop
201.64,205.64,Pero ojo: tener ITIN no te da crédito por sí solo.,ITIN,pop
205.64,209.64,Te da el derecho a participar en el juego.,,none
209.64,213.64,La jugada concreta para empezar a construir score viene en la segunda,,none
213.64,217.64,"puerta, y ahí es donde casi todos los hispanos eligen el producto",,none
217.64,218.64,equivocado.,,none
233.00,237.00,"El error más caro que vi en mis primeros años aquí,",,none
237.00,241.00,"y que veo todavía hoy en familia y amigos,",,none
241.00,245.00,"es contratar lo que la industria llama una 'tarjeta para inmigrantes',",,none
245.00,249.00,generalmente tarjetas prepagadas con nombres comerciales atractivos en español.,,none
249.00,251.39,Esas tarjetas no construyen crédito.,,none
251.39,253.78,No reportan a los burós.,,none
253.77,257.77,"Te cobran fees mensuales, fees por recargar, fees por sacar dinero,",,none
257.77,261.77,y al final del año pagaste cien o doscientos dólares por nada.,,none
261.77,265.77,Existen porque el sistema sabe que el hispano recién llegado va a,,none
265.77,268.63,entrar por la puerta más cómoda.,,none
268.63,271.02,La puerta correcta es otra.,,none
271.02,275.02,"Se llama secured credit card, tarjeta de crédito garantizada.",secured,pop
275.02,279.02,"Funciona así: depositas una cantidad, normalmente entre doscientos y mil dólares,",,none
279.02,283.02,y ese depósito se convierte en tu límite de crédito.,,none
283.02,287.02,"Usas la tarjeta como cualquier otra, pagas a tiempo,",,none
287.02,291.02,y el banco reporta tu comportamiento a las tres burós.,,none
291.02,295.02,"A los seis o doce meses te devuelven el depósito y,",,none
295.02,299.02,"si fuiste responsable, te suben a una tarjeta sin garantía.",,none
299.02,303.02,Los productos más conocidos y que históricamente han aceptado ITIN son la,ITIN,pop
303.02,307.02,Capital One Platinum Secured y la Discover it Secured.,Capital One|Discover|Secured,pop
307.02,311.02,Ambas reportan a los tres burós y permiten subir el FICO de,FICO,pop
311.02,315.02,cero a setecientos en aproximadamente diez a catorce meses si las usas,,none
315.02,316.02,correctamente.,,none
316.02,319.84,Y 'usar correctamente' aquí significa algo muy específico:,fico,pop
319.84,322.70,no se trata de pagar puntual.,,none
322.70,325.09,Pagar puntual es el mínimo.,,none
325.08,329.08,"La jugada de verdad, la que sube el score más rápido,",,none
329.08,333.08,es algo que el banco nunca te va a recomendar porque no,,none
333.08,334.08,le conviene.,,none
334.08,336.94,Eso lo abro en un momento.,,none
358.00,360.10,"Aquí está la tercera puerta,",,none
360.10,364.10,y es donde se separa al hispano que construye crédito en doce,,none
364.10,366.62,meses del que tarda tres años.,,none
366.61,368.71,Se llama credit builder loan.,credit builder,pop
368.71,372.71,Y suena raro porque funciona al revés que un préstamo normal.,,none
372.71,376.71,"En vez de darte dinero y que tú lo pagues con intereses,",,none
376.71,380.48,"te abren una cuenta donde tú depositas cada mes,",,none
380.48,384.48,"ese dinero queda guardado, y al final del plazo te lo devuelven",,none
384.48,387.00,más un poco de interés ganado.,,none
387.00,391.00,"Mientras tanto, cada pago mensual se reporta a los tres burós como",,none
391.00,393.94,una cuota de préstamo pagada a tiempo.,,none
393.94,397.29,"Es decir: no estás pidiendo prestado, estás ahorrando,",,none
397.29,401.29,pero el sistema lo registra como si estuvieras pagando una deuda con,,none
401.29,402.29,disciplina.,,none
402.29,406.29,"Empresas como Self Inc, Kikoff y Credit Strong ofrecen este producto a",Credit Strong|Kikoff|Self Inc,pop
406.29,409.23,partir de unos veinticinco dólares al mes.,,none
409.23,410.23,Aceptan ITIN.,ITIN,pop
410.23,412.75,Y la clave estratégica es esta:,,none
412.74,416.74,si combinas una secured credit card con un credit builder loan al,credit builder|secured,pop
416.74,420.74,"mismo tiempo, tu reporte de crédito muestra dos líneas activas distintas,",,none
420.74,424.74,una de tipo revolving (la tarjeta) y otra de tipo installment (el,,none
424.74,428.74,"préstamo), y eso es exactamente lo que el modelo FICO premia más.",FICO,pop
428.74,432.74,La mezcla de tipos de crédito pesa el diez por ciento del,,none
432.74,436.09,"score, y casi nadie que empieza la cubre.",,none
436.10,440.10,La consecuencia: el hispano que solo tiene secured card sube de cero,secured,pop
440.10,442.62,a seiscientos cincuenta en doce meses.,,none
442.61,446.61,El que combina las dos puertas sube de cero a setecientos diez,,none
446.61,449.55,a setecientos treinta en el mismo tiempo.,,none
449.55,452.90,"Mismo dinero invertido, casi cien puntos de diferencia.",,none
452.90,455.42,"Y eso, en una hipoteca FHA,",FHA,pop
455.42,459.42,equivale a varios miles de dólares menos en intereses durante la vida,,none
459.42,460.42,del préstamo.,,none
460.42,464.42,Pero hay una cuarta cosa que ninguna de estas puertas resuelve por,,none
464.42,465.42,sí sola.,,none
465.42,468.36,Y es lo que mencioné al principio:,,none
468.35,472.35,la paradoja emocional del hispano que ahorra bien y construye crédito mal.,,none
488.00,492.00,Esta es la parte incómoda y la que más cuesta aceptar.,,none
492.00,496.00,"Tu disciplina con el dinero, esa que te salvó en Latinoamérica,",,none
496.00,497.59,aquí te castiga.,,none
497.59,501.59,"El hispano que paga la renta a tiempo doce años seguidos,",,none
501.59,504.23,"que nunca debe un peso,",,none
504.23,508.23,"que ahorra debajo del colchón y vive sin tarjetas,",,none
508.23,512.23,es el mismo hispano que cuando va a comprar su primera casa,,none
512.23,516.23,le dicen que necesita veinte por ciento de down y un co-signer,,none
516.23,517.23,ciudadano.,,none
517.23,518.29,¿Por qué?,,none
518.29,521.99,Porque el sistema no premia tu honradez.,,none
521.99,523.58,Premia tu visibilidad.,,none
523.58,527.58,"Sientes que estás haciendo las cosas bien, sabes que eres responsable,",,none
527.58,531.58,pero el modelo te trata como si fueras un riesgo.,,none
531.58,533.70,Esa es la paradoja.,,none
533.69,537.69,"Y por eso construir crédito en EE.UU. no es una decisión financiera,",,none
537.69,539.81,es una decisión cultural.,,none
539.81,543.81,"Es aceptar que aquí necesitas usar el sistema, no esconderte de él.",,none
543.81,547.81,Que pedir una tarjeta y pagarla cada mes no te hace menos,,none
547.81,549.93,honrado: te hace contable.,,none
549.92,553.62,Que el ITIN no es un peligro:,ITIN,pop
553.63,557.63,es la primera firma de tu existencia económica.,,none
557.63,561.63,"Cuando un inmigrante hispano entiende esto, su trayectoria cambia.",,none
561.63,564.27,"No porque gane más dinero,",,none
564.27,568.27,sino porque el dinero que ya gana empieza a valer más a,,none
568.27,569.86,ojos del sistema.,,none
569.86,573.86,Y eso se nota a los noventa días.,,none
598.00,600.33,Te dejo el plan exacto.,,none
600.33,604.33,"Día uno: descarga el formulario W-7 del sitio del IRS, en irs.gov,",7|IRS|W-7,pop
604.33,608.33,"llénalo, adjunta tu pasaporte y los documentos que el formulario pide.",,none
608.33,612.33,Puedes presentarlo por correo o a través de un Certifying Acceptance Agent,,none
612.33,615.59,autorizado por el IRS en tu ciudad.,IRS,pop
615.59,619.32,El número llega entre seis y once semanas.,,none
619.32,622.12,"Día sesenta, una vez tengas ITIN:",ITIN,pop
622.12,626.12,abre una cuenta de cheques en un banco que sí acepte ITIN,ITIN,pop
626.12,628.92,"como Capital One, Bank of America,",Capital One,pop
628.92,632.18,Wells Fargo o tu credit union local.,,none
632.18,636.18,"Mismo día, solicita una secured credit card de doscientos dólares de límite.",secured,pop
636.18,640.18,"Mismo día también, abre una cuenta en Self Inc o Kikoff con",Kikoff|Self Inc,pop
640.18,643.44,cuota mensual de veinticinco a cincuenta dólares.,,none
643.44,647.44,"Día noventa, tu reporte ya empieza a tener actividad en los tres",,none
647.44,648.44,burós.,,none
648.44,652.44,"Usa la secured card para gastos pequeños y predecibles,",secured,pop
652.44,654.77,"idealmente la compra del super,",,none
654.77,658.77,"y paga la totalidad del balance antes del statement date,",statement date,pop
658.77,661.10,no de la due date.,due date,pop
661.10,665.10,Eso último es la jugada técnica más importante del video y casi,,none
665.10,669.10,nadie la conoce: si pagas antes de que el banco reporte el,,none
669.10,673.10,"ciclo, tu utilization aparece bajo, y bajo es premiado.",utilization,pop
673.10,677.10,"A los doce meses, si seguiste los tres pasos en paralelo,",,none
677.10,681.10,tu FICO estará entre seiscientos noventa y setecientos cuarenta.,FICO,pop
681.10,685.10,"Es el rango donde se abre la hipoteca FHA,",FHA,pop
685.10,689.10,"el préstamo de auto con tasa razonable y, sobre todo,",,none
689.10,691.43,donde dejas de ser invisible.,,none
708.00,712.00,Te dejo gratis en el primer enlace de la descripción la 'Hoja,,none
712.00,716.00,Ruta del Crédito ITIN': un PDF de dos páginas con los enlaces,ITIN|PDF,pop
716.00,720.00,"directos al W-7, la lista actualizada de bancos que aceptan ITIN por",7|ITIN|W-7,pop
720.00,724.00,"estado, y un calendario imprimible de noventa días con las fechas exactas",,none
724.00,725.18,de cada paso.,,none
725.18,727.55,No te pido que te suscribas.,,none
727.55,731.55,Te pido que lo guardes en tu teléfono y lo abras cuando,,none
731.55,733.13,estés listo para empezar.,,none
733.13,737.13,"Y si conoces a alguien que lleva años aquí sin construir crédito,",,none
737.13,738.31,mándale este video.,,none
738.31,742.31,A veces el regalo más valioso para un hispano en este país,,none
742.31,745.86,"no es dinero, es información que nadie le dio.",,none
